Index X Y Z
523 -1.709800 7.318800 -0.354571
524 -1.952400 7.325200 -0.501871
525 -1.777400 7.252800 -0.561671
526 -1.603100 7.181800 -0.632971
527 -1.532500 7.243300 -0.408871
528 -1.339500 7.177600 -0.461171
529 -1.408200 7.117700 -0.705771
530 -1.197800 7.060100 -0.783071
531 -1.132500 7.118400 -0.514871
532 -0.913000 7.062600 -0.573571
533 -0.977100 7.008800 -0.867371
534 -0.766600 6.966800 -0.947871
535 -0.688200 7.009800 -0.663071
536 -0.523900 6.994200 -0.692471
537 -0.584100 6.940200 -1.008971
538 -0.386300 6.928200 -1.057271
539 -0.352700 6.985900 -0.734371
540 -0.181500 6.918200 -1.097671
541 -0.165000 6.976400 -0.763771
542 0.000000 6.915900 -1.135071
543 0.000000 6.973600 -0.788371
544 -2.570700 7.930500 -0.345071
545 -2.617600 7.996700 -0.263971
546 -1.656800 7.163600 -0.864771
547 -1.825300 7.229100 -0.765671
548 -1.961800 7.286200 -0.686271
549 -1.251000 7.044300 -1.061571
550 -1.463100 7.100800 -0.963271
551 -0.805600 6.962100 -1.220171
552 -1.027400 6.997300 -1.149671
553 -0.805600 6.962100 -1.220171
554 -0.398700 6.929800 -1.317771
555 -0.598400 6.941000 -1.273471
556 -0.805600 6.962100 -1.220171
557 -0.805600 6.962100 -1.220171
558 0.000000 6.922000 -1.394071
559 -0.199300 6.924400 -1.358171
560 -2.085800 7.349400 -0.562771
561 -2.059500 7.323600 -0.647271
562 -2.106100 7.337300 -0.729371
563 -2.068100 9.181500 -1.322171
564 -2.129500 9.158200 -1.318571
565 -2.141200 9.295300 -1.311971
566 -2.141200 9.295300 -1.311971
567 -2.081000 9.304700 -1.317671
568 -2.299700 9.101400 -1.272371
569 -2.308100 9.271800 -1.260071
570 -2.201400 9.285900 -1.306171
571 -2.191000 9.134900 -1.314971
572 -2.309600 9.428800 -1.250871
573 -2.202600 9.427000 -1.302671
574 -2.309600 9.428800 -1.250871
575 -2.141200 9.295300 -1.311971
576 -2.142400 9.425800 -1.311371
577 -2.082100 9.424500 -1.320171
578 -2.389500 9.428900 -1.130471
579 -2.387300 9.267200 -1.144571
580 -2.309600 9.428800 -1.250871
581 -2.309600 9.428800 -1.250871
582 -2.380100 9.094100 -1.159071
583 -2.366900 8.894400 -1.172271
584 -2.281300 8.899500 -1.288271
585 -2.248700 8.670800 -1.354771
586 -2.354400 8.685700 -1.208171
587 -2.381700 8.632400 -1.285071
588 -2.281500 8.592000 -1.431671
589 -0.388600 9.687100 -2.149171
590 -0.388600 9.687100 -2.149171
591 -0.534900 9.664800 -2.013271
592 -0.461800 9.676000 -2.081271
593 -0.388600 9.687100 -2.149171
594 -0.388600 9.687100 -2.149171
595 -0.144400 10.020900 -2.340971
596 0.000000 10.023800 -2.434771
597 -2.076100 9.547200 -1.325671
598 -2.137400 9.559700 -1.313871
599 -2.309600 9.428800 -1.250871
600 -2.307000 9.590200 -1.244471
601 -2.198600 9.572200 -1.302171
602 -2.309600 9.428800 -1.250871
603 -2.387300 9.594500 -1.118271
604 -2.381100 9.765100 -1.103871
605 -2.309600 9.428800 -1.250871
606 -2.309600 9.428800 -1.250871
607 -2.453400 9.592200 -0.944071
608 -2.519400 9.590600 -0.742371
609 -2.582500 9.590800 -0.528971
610 -2.582500 9.590800 -0.528971
611 -2.582500 9.590800 -0.528971
612 -2.639900 9.594100 -0.319571
613 -2.636800 9.464600 -0.361671
614 -2.582500 9.590800 -0.528971
615 -2.756200 9.490200 -0.195571
616 -2.744200 9.603500 -0.141971
617 -2.703100 9.658600 0.026929
618 -2.703100 9.658600 0.026929
619 -2.634400 8.071900 -0.473571
620 -2.690500 8.062200 -0.404771
621 -2.627800 9.296100 -0.395871
622 -2.790500 9.314600 -0.221871
623 -2.575600 9.279400 -0.579871
624 -2.618700 9.113700 -0.424971
625 -2.575600 9.279400 -0.579871
626 -2.788700 9.110000 -0.251971
627 -2.615500 8.942700 -0.451571
628 -2.790400 8.928900 -0.281971
629 -2.619000 8.774000 -0.477571
630 -2.792100 8.759300 -0.312871
631 -2.630500 8.598600 -0.504771
632 -2.630500 8.598600 -0.504771
633 -2.790100 8.589200 -0.345471
634 -2.630500 8.598600 -0.504771
635 -2.644900 8.443200 -0.517171
636 -2.630500 8.598600 -0.504771
637 -2.783800 8.429900 -0.375171
638 -2.630500 8.598600 -0.504771
639 -2.630500 8.598600 -0.504771
640 -2.657100 8.334600 -0.498571
641 -2.772500 8.292900 -0.397571
642 -3.510700 8.634100 0.330329
643 -3.571400 8.816800 0.369329
644 -3.716400 8.822800 0.361229
645 -3.697900 8.626400 0.327429
646 -3.502700 9.006000 0.370229
647 -3.689100 9.026800 0.372829
648 -3.716400 8.822800 0.361229
649 -3.716400 8.822800 0.361229
650 -3.571400 8.816800 0.369329
651 -3.502700 9.006000 0.370229
652 -3.759100 9.046100 0.320029
653 -3.787700 8.831500 0.307729
654 -3.689100 9.026800 0.372829
655 -3.768200 8.624600 0.272129
656 -3.697900 8.626400 0.327429
657 -3.477900 9.200700 0.364929
658 -3.612800 9.232800 0.360829
659 -3.612800 9.232800 0.360829
660 -3.689100 9.026800 0.372829
661 -3.502700 9.006000 0.370229
662 -3.351700 9.352600 0.328429
663 -3.489100 9.411400 0.326729
664 -3.477900 9.200700 0.364929
665 -3.550100 9.449100 0.271429
666 -3.679300 9.261900 0.307329
667 -3.489100 9.411400 0.326729
668 -3.201100 9.465100 0.280429
669 -3.319600 9.533700 0.272029
670 -3.081000 9.531800 0.224029
671 -3.120900 9.600400 0.201329
672 -3.163400 9.647200 0.139229
673 -3.373400 9.577800 0.213829
674 -3.319600 9.533700 0.272029
675 -3.120900 9.600400 0.201329
676 -2.914100 9.522200 0.173729
677 -2.909800 9.612100 0.118729
678 -2.697800 9.505100 0.086529
679 -2.692500 9.596400 0.030229
680 -2.703100 9.658600 0.026929
681 -2.934200 9.656100 0.052229
682 -2.703100 9.658600 0.026929
683 -3.163400 9.647200 0.139229
684 -2.517300 8.086100 -0.092571
685 -2.760600 8.076700 -0.100171
686 -2.751200 8.003100 -0.200271
687 -2.751200 8.003100 -0.200271
688 -2.617600 7.996700 -0.263971
689 -2.517300 8.086100 -0.092571
690 -2.901400 8.053200 -0.077771
691 -2.926100 7.996100 -0.136871
692 -2.959000 7.966400 -0.218071
693 -2.787000 7.980600 -0.287671
694 -2.641000 7.984100 -0.375171
695 -3.017600 8.097200 -0.003571
696 -3.096900 8.022200 -0.056771
697 -3.166800 8.160600 0.078829
698 -3.259700 8.079500 0.031729
699 -3.306300 8.048800 -0.039471
700 -3.134800 7.990100 -0.132671
701 -3.096900 8.022200 -0.056771
702 -3.259700 8.079500 0.031729
703 -3.134800 7.990100 -0.132671
704 -3.309900 8.230500 0.157029
705 -3.410400 8.166300 0.120129
706 -3.404700 8.334500 0.222729
707 -3.539500 8.286400 0.202529
708 -3.601200 8.266200 0.140529
709 -3.465200 8.139600 0.053729
710 -3.410400 8.166300 0.120129
711 -3.539500 8.286400 0.202529
712 -3.404700 8.334500 0.222729
713 -3.501500 8.464900 0.286229
714 -3.637100 8.443700 0.273129
715 -3.637100 8.443700 0.273129
716 -3.704200 8.432000 0.214929
717 -3.637100 8.443700 0.273129
718 -3.791100 8.840200 0.218729
719 -3.772700 8.643900 0.184929
720 -3.763800 9.044300 0.230429
721 -3.609800 9.049600 0.102129
722 -3.631400 8.858100 0.088029
723 -3.617100 8.678400 0.056629
724 -3.687500 9.250300 0.218329
725 -3.550100 9.449100 0.271429
726 -3.563800 9.428900 0.184229
727 -3.507500 9.384300 0.108429
728 -3.550600 9.253800 0.098129
729 -3.373400 9.577800 0.213829
730 -3.394300 9.551200 0.129629
731 -3.163400 9.647200 0.139229
732 -3.186600 9.616000 0.058829
733 -3.182100 9.541000 0.004729
734 -3.343300 9.464500 0.036329
735 -2.934200 9.656100 0.052229
736 -2.948200 9.622100 -0.023771
737 -2.703100 9.658600 0.026929
738 -2.744200 9.603500 -0.141971
739 -2.703100 9.658600 0.026929
740 -2.756200 9.490200 -0.195571
741 -3.010900 9.512200 -0.070371
742 -2.641000 7.984100 -0.375171
